Text,Text_Clean,Sentiment,Platform,Timestamp,User,Hashtags,Likes,Retweets,Country,Text_Length,Word_Count,Year,Month,Day,Hour,Date
Feeling a bit under the weather today.,feeling a bit under the weather today,Negative,Twitter,2023-01-18 10:30:00,WellnessCheck,#SickDay #Health,15.0,7.0,Canada,38,7,2023,1,18,10,2023-01-18
Exploring the city's hidden gems.,exploring the citys hidden gems,Positive,Facebook,2023-01-18 14:50:00,UrbanExplorer,#CityExplore #HiddenGems,25.0,12.0,UK,33,5,2023,1,18,14,2023-01-18
"New year, new fitness goals! 💪",new year new fitness goals 💪,Positive,Instagram,2023-01-18 18:00:00,FitJourney,#NewYear #FitnessGoals,55.0,28.0,USA,30,6,2023,1,18,18,2023-01-18
Technology is changing the way we live.,technology is changing the way we live,Neutral,Twitter,2023-01-19 09:45:00,TechEnthusiast,#Tech #Innovation,30.0,15.0,India,39,7,2023,1,19,9,2023-01-19
Reflecting on the past and looking ahead.,reflecting on the past and looking ahead,Positive,Facebook,2023-01-19 13:20:00,Reflections,#Reflection #Future,40.0,20.0,USA,41,7,2023,1,19,13,2023-01-19
Just adopted a cute furry friend! 🐾,just adopted a cute furry friend 🐾,Positive,Instagram,2023-01-19 17:10:00,PetAdopter,#PetAdoption #FurryFriend,30.0,15.0,Canada,35,7,2023,1,19,17,2023-01-19
Late-night gaming session with friends.,latenight gaming session with friends,Positive,Twitter,2023-01-20 00:05:00,GamerX,#Gaming #LateNight,35.0,18.0,UK,39,5,2023,1,20,0,2023-01-20
Attending a virtual conference on AI.,attending a virtual conference on ai,Neutral,Facebook,2023-01-20 11:30:00,TechConference,#AI #TechConference,50.0,25.0,USA,37,6,2023,1,20,11,2023-01-20
Winter blues got me feeling low.,winter blues got me feeling low,Negative,Instagram,2023-01-20 15:15:00,WinterBlues,#WinterBlues #Mood,15.0,8.0,USA,32,6,2023,1,20,15,2023-01-20
Sipping coffee and enjoying a good book.,sipping coffee and enjoying a good book,Positive,Twitter,2023-01-21 08:40:00,Bookworm,#Reading #CoffeeTime,45.0,22.0,India,40,7,2023,1,21,8,2023-01-21
Exploring the world of virtual reality.,exploring the world of virtual reality,Positive,Facebook,2023-01-21 13:20:00,VRExplorer,#VR #VirtualReality,30.0,15.0,USA,39,6,2023,1,21,13,2023-01-21
Productive day ticking off my to-do list.,productive day ticking off my todo list,Positive,Instagram,2023-01-21 16:45:00,ProductivityPro,#Productivity #WorkFromHome,60.0,30.0,USA,41,7,2023,1,21,16,2023-01-21
Just finished a challenging workout routine.,just finished a challenging workout routine,Positive,Twitter,2023-01-22 09:15:00,FitnessWarrior,#Fitness #ChallengeAccepted,40.0,20.0,UK,44,6,2023,1,22,9,2023-01-22
Celebrating a milestone at work! 🎉,celebrating a milestone at work 🎉,Positive,Facebook,2023-01-22 14:30:00,CareerMilestone,#Career #Milestone,25.0,12.0,Canada,34,6,2023,1,22,14,2023-01-22
Sunday brunch with friends.,sunday brunch with friends,Positive,Instagram,2023-01-22 12:00:00,BrunchBuddy,#Brunch #Friends,30.0,15.0,UK,27,4,2023,1,22,12,2023-01-22
Learning a new language for personal growth.,learning a new language for personal growth,Positive,Facebook,2023-01-23 16:20:00,LanguageLearner,#LanguageLearning #PersonalGrowth,50.0,25.0,India,44,7,2023,1,23,16,2023-01-23
Quiet evening with a good book.,quiet evening with a good book,Positive,Instagram,2023-01-23 19:45:00,BookLover,#Reading #QuietTime,30.0,15.0,Australia,31,6,2023,1,23,19,2023-01-23
Reflecting on the importance of mental health.,reflecting on the importance of mental health,Positive,Twitter,2023-01-24 11:30:00,MentalHealthMatters,#MentalHealth #SelfCare,45.0,22.0,USA,46,7,2023,1,24,11,2023-01-24
New painting in progress! 🎨,new painting in progress 🎨,Positive,Facebook,2023-01-24 15:00:00,ArtistInAction,#Art #PaintingInProgress,25.0,12.0,Canada,27,5,2023,1,24,15,2023-01-24
Weekend road trip to explore scenic views.,weekend road trip to explore scenic views,Positive,Instagram,2023-01-24 17:30:00,RoadTripper,#RoadTrip #ScenicViews,35.0,18.0,UK,42,7,2023,1,24,17,2023-01-24
Enjoying a cup of tea and watching the sunset.,enjoying a cup of tea and watching the sunset,Positive,Twitter,2023-01-25 18:00:00,SunsetWatcher,#TeaTime #Sunset,30.0,15.0,India,46,9,2023,1,25,18,2023-01-25
Coding a new project with enthusiasm.,coding a new project with enthusiasm,Positive,Facebook,2023-01-25 13:15:00,CodeEnthusiast,#Coding #Enthusiasm,60.0,30.0,USA,37,6,2023,1,25,13,2023-01-25
Feeling inspired after attending a workshop.,feeling inspired after attending a workshop,Positive,Instagram,2023-01-26 09:45:00,WorkshopAttendee,#Inspiration #Workshop,50.0,25.0,USA,44,6,2023,1,26,9,2023-01-26
Winter sports day at the local park.,winter sports day at the local park,Positive,Twitter,2023-01-26 14:20:00,WinterSports,#WinterSports #Fun,30.0,15.0,Canada,36,7,2023,1,26,14,2023-01-26
Quality time with family this weekend.,quality time with family this weekend,Positive,Facebook,2023-01-26 17:40:00,FamilyTime,#FamilyTime #Weekend,45.0,22.0,UK,38,6,2023,1,26,17,2023-01-26
Attending a live music concert tonight.,attending a live music concert tonight,Positive,Instagram,2023-01-27 20:00:00,MusicLover,#Music #ConcertNight,35.0,18.0,USA,39,6,2023,1,27,20,2023-01-27
Practicing mindfulness with meditation.,practicing mindfulness with meditation,Positive,Twitter,2023-01-27 12:30:00,MindfulMoments,#Mindfulness #Meditation,30.0,15.0,India,39,4,2023,1,27,12,2023-01-27
Trying out a new dessert recipe.,trying out a new dessert recipe,Positive,Facebook,2023-01-27 16:10:00,DessertExplorer,#Dessert #Cooking,25.0,12.0,Canada,32,6,2023,1,27,16,2023-01-27
Excited about the upcoming gaming tournament.,excited about the upcoming gaming tournament,Positive,Instagram,2023-01-28 09:00:00,GamingEnthusiast,#Gaming #Tournament,60.0,30.0,USA,45,6,2023,1,28,9,2023-01-28
Planning a garden makeover for spring.,planning a garden makeover for spring,Positive,Twitter,2023-01-28 14:45:00,GardenPlanner,#Gardening #Spring,50.0,25.0,USA,38,6,2023,1,28,14,2023-01-28
Celebrating a friend's birthday tonight! 🎂,celebrating a friends birthday tonight 🎂,Positive,Facebook,2023-01-28 19:30:00,BirthdayBash,#Birthday #Celebration,30.0,15.0,UK,42,6,2023,1,28,19,2023-01-28
Feeling accomplished after a productive day.,feeling accomplished after a productive day,Positive,Instagram,2023-01-29 17:00:00,ProductivityWin,#Accomplished #Success,45.0,22.0,India,44,6,2023,1,29,17,2023-01-29
A cozy evening with a good movie.,a cozy evening with a good movie,Positive,Twitter,2023-01-29 20:20:00,MovieNight,#CozyNight #MovieTime,35.0,18.0,Canada,33,7,2023,1,29,20,2023-01-29
Exploring local art galleries this weekend.,exploring local art galleries this weekend,Positive,Facebook,2023-01-30 11:30:00,ArtExplorer,#Art #GalleryExplore,30.0,15.0,USA,43,6,2023,1,30,11,2023-01-30
New book release from my favorite author!,new book release from my favorite author,Positive,Instagram,2023-01-30 15:45:00,BookwormX,#BookRelease #FavoriteAuthor,25.0,12.0,UK,41,7,2023,1,30,15,2023-01-30
Attending a virtual reality meetup.,attending a virtual reality meetup,Positive,Twitter,2023-01-30 18:30:00,VRMeetup,#VRMeetup #VirtualReality,55.0,28.0,India,35,5,2023,1,30,18,2023-01-30
Reflecting on the beauty of nature.,reflecting on the beauty of nature,Positive,Facebook,2023-01-31 10:45:00,NatureLover,#Nature #Reflection,30.0,15.0,Australia,35,6,2023,1,31,10,2023-01-31
Cooking a special dinner for loved ones.,cooking a special dinner for loved ones,Positive,Instagram,2023-01-31 19:00:00,ChefAtHome,#Cooking #SpecialDinner,40.0,20.0,USA,40,7,2023,1,31,19,2023-01-31
Feeling optimistic about the week ahead.,feeling optimistic about the week ahead,Positive,Twitter,2023-01-31 16:20:00,OptimisticMindset,#Optimism #NewWeek,30.0,15.0,Canada,40,6,2023,1,31,16,2023-01-31
Starting a new fitness challenge tomorrow! 💪,starting a new fitness challenge tomorrow 💪,Positive,Facebook,2023-02-01 08:00:00,FitnessChallenge,#FitnessChallenge #NewBeginnings,45.0,22.0,UK,44,7,2023,2,1,8,2023-02-01
Sunday bike ride through scenic trails.,sunday bike ride through scenic trails,Positive,Instagram,2023-02-01 13:30:00,BikeExplorer,#BikeRide #ScenicTrails,35.0,18.0,USA,39,6,2023,2,1,13,2023-02-01
Can't believe the injustice happening in our society.,cant believe the injustice happening in our society,Anger,Twitter,2023-02-11 09:30:00,SocialJustice,#Injustice #Angry,40.0,20.0,Canada,53,8,2023,2,11,9,2023-02-11
Feeling a sense of fear after watching a thriller movie.,feeling a sense of fear after watching a thriller movie,Fear,Instagram,2023-02-11 21:15:00,ThrillerFan,#Fear #ThrillerMovie,30.0,15.0,USA,56,10,2023,2,11,21,2023-02-11
Heartbroken after hearing the news about a natural disaster.,heartbroken after hearing the news about a natural disaster,Sadness,Facebook,2023-02-12 14:45:00,EmpathyFirst,#Sadness #NaturalDisaster,50.0,25.0,India,60,9,2023,2,12,14,2023-02-12
The state of the world's environment is just disgusting.,the state of the worlds environment is just disgusting,Disgust,Twitter,2023-02-12 18:20:00,EcoAwareness,#Disgust #Environment,35.0,18.0,UK,56,9,2023,2,12,18,2023-02-12
Pure happiness: celebrating a loved one's achievement!,pure happiness celebrating a loved ones achievement,Happiness,Instagram,2023-02-13 10:00:00,ProudFriend,#Happiness #Celebration,60.0,30.0,USA,54,7,2023,2,13,10,2023-02-13
Laughter is the best medicine—enjoying a comedy show.,laughter is the best medicineenjoying a comedy show,Joy,Facebook,2023-02-13 19:30:00,ComedyFan,#Joy #ComedyShow,45.0,22.0,Canada,53,8,2023,2,13,19,2023-02-13
Sharing love and positive vibes with everyone! ❤️,sharing love and positive vibes with everyone,Love,Twitter,2023-02-14 08:30:00,LoveSpreader,#Love #SpreadLove,30.0,15.0,Australia,49,8,2023,2,14,8,2023-02-14
An amusing incident brightened up my day!,an amusing incident brightened up my day,Amusement,Instagram,2023-02-14 14:20:00,AmusedSoul,#Amusement #FunTimes,35.0,18.0,UK,41,7,2023,2,14,14,2023-02-14
Enjoying a quiet evening with a book and some tea.,enjoying a quiet evening with a book and some tea,Enjoyment,Facebook,2023-02-14 19:45:00,BookLoverAgain,#Enjoyment #BookTime,50.0,25.0,Canada,50,10,2023,2,14,19,2023-02-14
Admiring the beauty of nature during a peaceful hike.,admiring the beauty of nature during a peaceful hike,Admiration,Twitter,2023-02-15 11:30:00,NatureAdmirer,#Admiration #Nature,40.0,20.0,USA,53,9,2023,2,15,11,2023-02-15
Sending affectionate vibes to all my followers!,sending affectionate vibes to all my followers,Affection,Instagram,2023-02-15 16:00:00,AffectionSender,#Affection #PositiveVibes,30.0,15.0,USA,47,7,2023,2,15,16,2023-02-15
Experiencing awe at the breathtaking sunset.,experiencing awe at the breathtaking sunset,Awe,Facebook,2023-02-15 20:30:00,AweStruck,#Awe #Breathtaking,45.0,22.0,Australia,44,6,2023,2,15,20,2023-02-15
Disappointed with the service at a local restaurant.,disappointed with the service at a local restaurant,Disappointed,Twitter,2023-02-16 09:00:00,FoodieGoneWrong,#Disappointed #BadService,35.0,18.0,India,52,8,2023,2,16,9,2023-02-16
A surprise gift from a friend made my day!,a surprise gift from a friend made my day,Surprise,Instagram,2023-02-16 14:45:00,HappySurprise,#Surprise #Gift,50.0,25.0,USA,42,9,2023,2,16,14,2023-02-16
Finding acceptance in the midst of life's challenges.,finding acceptance in the midst of lifes challenges,Acceptance,Facebook,2023-02-16 18:20:00,AcceptanceSeeker,#Acceptance #Challenges,30.0,15.0,Canada,53,8,2023,2,16,18,2023-02-16
Overflowing with adoration for my adorable pet! 🐾,overflowing with adoration for my adorable pet 🐾,Adoration,Twitter,2023-02-17 10:45:00,PetAdorer,#Adoration #PetLove,45.0,22.0,UK,49,8,2023,2,17,10,2023-02-17
Anticipating a thrilling adventure in the coming weeks.,anticipating a thrilling adventure in the coming weeks,Anticipation,Instagram,2023-02-17 07:30:00,AdventureAwaits,#Anticipation #Adventure,40.0,20.0,USA,55,8,2023,2,17,7,2023-02-17
A bitter experience turned into a valuable lesson.,a bitter experience turned into a valuable lesson,Bitter,Facebook,2023-02-17 15:00:00,LearnFromBitter,#BitterLesson #Growth,35.0,18.0,USA,50,8,2023,2,17,15,2023-02-17
Finding calmness in the midst of a busy day.,finding calmness in the midst of a busy day,Calmness,Twitter,2023-02-18 09:30:00,ZenMaster,#Calmness #PeacefulMind,30.0,15.0,India,44,9,2023,2,18,9,2023-02-18
Confusion clouds my mind as I navigate through decisions.,confusion clouds my mind as i navigate through decisions,Confusion,Instagram,2023-02-18 14:20:00,ConfusedMind,#Confusion #DecisionMaking,50.0,25.0,UK,57,9,2023,2,18,14,2023-02-18
Excitement building up for the upcoming vacation!,excitement building up for the upcoming vacation,Excitement,Facebook,2023-02-18 18:45:00,VacationDreamer,#Excitement #TravelPlans,45.0,22.0,Canada,49,7,2023,2,18,18,2023-02-18
Kindness witnessed today restored my faith in humanity.,kindness witnessed today restored my faith in humanity,Kind,Twitter,2023-02-19 11:30:00,KindnessPrevails,#Kindness #Humanity,40.0,20.0,USA,55,8,2023,2,19,11,2023-02-19
Pride in achieving a personal milestone.,pride in achieving a personal milestone,Pride,Instagram,2023-02-19 16:00:00,PersonalAchiever,#Pride #Milestone,60.0,30.0,Australia,40,6,2023,2,19,16,2023-02-19
A moment of shame for not standing up against injustice.,a moment of shame for not standing up against injustice,Shame,Facebook,2023-02-19 19:45:00,ReflectiveSelf,#Shame #Injustice,30.0,15.0,India,56,10,2023,2,19,19,2023-02-19
Fuming with anger after a heated argument.,fuming with anger after a heated argument,Anger,Twitter,2023-02-20 09:30:00,AngryDebater,#Anger #Argument,40.0,20.0,Canada,42,7,2023,2,20,9,2023-02-20
The fear of the unknown is keeping me up at night.,the fear of the unknown is keeping me up at night,Fear,Instagram,2023-02-20 21:15:00,FearfulDreamer,#Fear #Unknown,30.0,15.0,USA,50,11,2023,2,20,21,2023-02-20
Heartfelt sadness after bidding farewell to a dear friend.,heartfelt sadness after bidding farewell to a dear friend,Sadness,Facebook,2023-02-21 14:45:00,FarewellHeart,#Sadness #Farewell,50.0,25.0,India,58,9,2023,2,21,14,2023-02-21
The state of corruption in our society is utterly disgusting.,the state of corruption in our society is utterly disgusting,Disgust,Twitter,2023-02-21 18:20:00,AntiCorruption,#Disgust #Corruption,35.0,18.0,UK,61,10,2023,2,21,18,2023-02-21
Overflowing happiness: welcoming a new family member!,overflowing happiness welcoming a new family member,Happiness,Instagram,2023-02-22 10:00:00,NewParentJoy,#Happiness #NewFamilyMember,60.0,30.0,UK,53,7,2023,2,22,10,2023-02-22
Laughter is the key to joy—attending a stand-up comedy show.,laughter is the key to joyattending a standup comedy show,Joy,Facebook,2023-02-22 19:30:00,StandUpFan,#Joy #StandUpComedy,45.0,22.0,Canada,60,10,2023,2,22,19,2023-02-22
Sending love to all my followers on this beautiful day! ❤️,sending love to all my followers on this beautiful day,Love,Twitter,2023-02-23 08:30:00,LoveSender,#Love #SpreadLove,30.0,15.0,Australia,58,11,2023,2,23,8,2023-02-23
Amused by the antics of my pet—it's pure amusement!,amused by the antics of my petits pure amusement,Amusement,Instagram,2023-02-23 14:20:00,PetAmuser,#Amusement #PetAntics,35.0,18.0,UK,51,9,2023,2,23,14,2023-02-23
Enjoying every moment of this trip—pure enjoyment!,enjoying every moment of this trippure enjoyment,Enjoyment,Facebook,2023-02-23 19:45:00,TravelExplorer,#Enjoyment #Travel,50.0,25.0,USA,50,7,2023,2,23,19,2023-02-23
Admiring the dedication of volunteers at a local charity.,admiring the dedication of volunteers at a local charity,Admiration,Twitter,2023-02-24 11:30:00,CharityAdmirer,#Admiration #Volunteers,40.0,20.0,USA,57,9,2023,2,24,11,2023-02-24
Sending affectionate vibes to friends and family.,sending affectionate vibes to friends and family,Affection,Instagram,2023-02-24 16:00:00,FamilyLover,#Affection #FamilyLove,30.0,15.0,USA,49,7,2023,2,24,16,2023-02-24
Awe-struck by the beauty of the night sky.,awestruck by the beauty of the night sky,Awe,Facebook,2023-02-24 20:30:00,Stargazer,#Awe #StarryNight,45.0,22.0,Australia,42,8,2023,2,24,20,2023-02-24
Disappointed with the lack of progress in a personal project.,disappointed with the lack of progress in a personal project,Disappointed,Twitter,2023-02-25 09:00:00,ProjectStruggle,#Disappointed #Project,35.0,18.0,India,61,10,2023,2,25,9,2023-02-25
A surprise visit from an old friend brought tears of joy.,a surprise visit from an old friend brought tears of joy,Surprise,Instagram,2023-02-25 14:45:00,JoyfulReunion,#Surprise #OldFriends,50.0,25.0,USA,57,11,2023,2,25,14,2023-02-25
Embracing acceptance of life's ups and downs.,embracing acceptance of lifes ups and downs,Acceptance,Facebook,2023-02-25 18:20:00,LifeAcceptance,#Acceptance #LifeJourney,30.0,15.0,Canada,45,7,2023,2,25,18,2023-02-25
Overflowing adoration for a cute rescue puppy! 🐶,overflowing adoration for a cute rescue puppy 🐶,Adoration,Twitter,2023-02-26 10:45:00,PuppyAdmirer,#Adoration #PuppyLove,45.0,22.0,UK,48,8,2023,2,26,10,2023-02-26
Anticipating the release of a much-awaited movie.,anticipating the release of a muchawaited movie,Anticipation,Instagram,2023-02-26 07:30:00,MovieBuff2,#Anticipation #MovieRelease,40.0,20.0,Australia,49,7,2023,2,26,7,2023-02-26
Bitter experience at the customer service department.,bitter experience at the customer service department,Bitter,Facebook,2023-02-26 15:00:00,CustomerWoes,#BitterExperience #CustomerService,35.0,18.0,USA,53,7,2023,2,26,15,2023-02-26
Finding calmness amidst the chaos of daily life.,finding calmness amidst the chaos of daily life,Calmness,Twitter,2023-02-27 09:30:00,CalmSoul,#Calmness #InnerPeace,30.0,15.0,India,48,8,2023,2,27,9,2023-02-27
Confusion reigns as I try to make sense of recent events.,confusion reigns as i try to make sense of recent events,Confusion,Instagram,2023-02-27 14:20:00,ConfusedMind2,#Confusion #MakingSense,50.0,25.0,UK,57,11,2023,2,27,14,2023-02-27
Excitement building up for a surprise birthday party.,excitement building up for a surprise birthday party,Excitement,Facebook,2023-02-27 18:45:00,BirthdayExcite,#Excitement #SurpriseParty,45.0,22.0,Canada,53,8,2023,2,27,18,2023-02-27
Witnessed an act of kindness that made my day.,witnessed an act of kindness that made my day,Kind,Twitter,2023-02-28 11:30:00,KindnessObserver,#Kindness #ActsOfKindness,40.0,20.0,USA,46,9,2023,2,28,11,2023-02-28
Pride in completing a challenging fitness challenge.,pride in completing a challenging fitness challenge,Pride,Instagram,2023-02-28 16:00:00,FitAchiever,#Pride #FitnessChallengeCompleted,60.0,30.0,UK,52,7,2023,2,28,16,2023-02-28
A moment of shame for not speaking up against injustice.,a moment of shame for not speaking up against injustice,Shame,Facebook,2023-02-28 19:45:00,ReflectiveSelf2,#Shame #Injustice,30.0,15.0,India,56,10,2023,2,28,19,2023-02-28
Reflecting on the beauty of diversity in our world.,reflecting on the beauty of diversity in our world,Acceptance,Twitter,2023-03-01 10:45:00,DiversityLover,#Acceptance #Diversity,45.0,22.0,Australia,51,9,2023,3,1,10,2023-03-01
Excitement for a quiet evening with a good book.,excitement for a quiet evening with a good book,Excitement,Instagram,2023-03-01 13:30:00,BookwormJoy,#Excitement #BookTime,35.0,18.0,USA,48,9,2023,3,1,13,2023-03-01
Feeling bitter about the unfairness in the workplace.,feeling bitter about the unfairness in the workplace,Bitter,Twitter,2023-03-01 17:45:00,WorkplaceWoes,#Bitter #Unfairness,30.0,15.0,Canada,53,8,2023,3,1,17,2023-03-01
Calmness prevails as I practice mindfulness.,calmness prevails as i practice mindfulness,Calmness,Facebook,2023-03-02 18:00:00,MindfulMe,#Calmness #Mindfulness,30.0,15.0,UK,44,6,2023,3,2,18,2023-03-02
Confusion surrounds me as I navigate through life's choices.,confusion surrounds me as i navigate through lifes choices,Confusion,Instagram,2023-03-02 13:15:00,ConfusedMind3,#Confusion #LifeChoices,60.0,30.0,USA,60,9,2023,3,2,13,2023-03-02
Excitement for a weekend road trip to explore new places.,excitement for a weekend road trip to explore new places,Excitement,Twitter,2023-03-02 16:45:00,RoadTripper2,#Excitement #WeekendAdventure,50.0,25.0,India,57,10,2023,3,2,16,2023-03-02
Kindness witnessed today restores my faith in humanity.,kindness witnessed today restores my faith in humanity,Kind,Facebook,2023-03-03 11:30:00,KindnessPrevails2,#Kindness #HumanityRestored,45.0,22.0,USA,55,8,2023,3,3,11,2023-03-03
Pride in accomplishing personal and professional goals.,pride in accomplishing personal and professional goals,Pride,Instagram,2023-03-03 14:30:00,GoalAchiever,#Pride #Accomplishments,25.0,12.0,Canada,55,7,2023,3,3,14,2023-03-03
Shame for not being true to my values in a difficult situation.,shame for not being true to my values in a difficult situation,Shame,Twitter,2023-03-03 12:00:00,ReflectiveSelf3,#Shame #Integrity,30.0,15.0,UK,63,12,2023,3,3,12,2023-03-03
"Revisiting old memories, feeling a sense of elation.",revisiting old memories feeling a sense of elation,Elation,Twitter,2010-05-15 15:30:00,NostalgiaFan,#Elation #Memories,40.0,20.0,Canada,52,8,2010,5,15,15,2010-05-15
The victory of our team brought euphoria to the city.,the victory of our team brought euphoria to the city,Euphoria,Instagram,2021-08-10 21:15:00,SportsFanatic,#Euphoria #Victory,30.0,15.0,USA,53,10,2021,8,10,21,2021-08-10
"Embracing the beauty of nature, a moment of contentment.",embracing the beauty of nature a moment of contentment,Contentment,Facebook,2011-06-20 14:45:00,NatureLover2,#Contentment #Nature,50.0,25.0,India,56,9,2011,6,20,14,2011-06-20
"Meditating by the serene lake, finding inner peace.",meditating by the serene lake finding inner peace,Serenity,Twitter,2022-02-12 18:20:00,ZenMaster2,#Serenity #Meditation,35.0,18.0,UK,51,8,2022,2,12,18,2022-02-12
Overflowing with gratitude for life's blessings.,overflowing with gratitude for lifes blessings,Gratitude,Instagram,2012-11-25 10:00:00,ThankfulHeart,#Gratitude #Blessed,60.0,30.0,Australia,48,6,2012,11,25,10,2012-11-25
"Hopeful for a brighter tomorrow, despite challenges.",hopeful for a brighter tomorrow despite challenges,Hope,Facebook,2013-04-05 19:30:00,OptimisticSoul,#Hope #Optimism,45.0,22.0,USA,52,7,2013,4,5,19,2013-04-05
Empowered to make a difference in my community.,empowered to make a difference in my community,Empowerment,Twitter,2014-09-14 08:30:00,CommunityLeader,#Empowerment #Community,30.0,15.0,UK,47,8,2014,9,14,8,2014-09-14
Compassion in action: supporting a local charity event.,compassion in action supporting a local charity event,Compassion,Instagram,2015-07-18 14:20:00,CharitySupporter,#Compassion #CharityEvent,35.0,18.0,Canada,55,8,2015,7,18,14,2015-07-18
"A moment of tenderness, connecting with loved ones.",a moment of tenderness connecting with loved ones,Tenderness,Facebook,2016-02-23 19:45:00,LovingHeart,#Tenderness #FamilyTime,50.0,25.0,UK,51,8,2016,2,23,19,2016-02-23
Arousal of excitement as I await a special announcement.,arousal of excitement as i await a special announcement,Arousal,Twitter,2017-10-30 11:30:00,ExcitementFan,#Arousal #Excitement,40.0,20.0,Australia,56,9,2017,10,30,11,2017-10-30
Enthusiastically diving into a new project.,enthusiastically diving into a new project,Enthusiasm,Instagram,2018-06-15 16:00:00,ProjectEnthusiast,#Enthusiasm #NewProject,30.0,15.0,USA,43,6,2018,6,15,16,2018-06-15
Feeling a sense of fulfillment after reaching a milestone.,feeling a sense of fulfillment after reaching a milestone,Fulfillment,Facebook,2019-03-28 18:20:00,MilestoneAchiever,#Fulfillment #Milestone,45.0,22.0,India,58,9,2019,3,28,18,2019-03-28
Reverence for the beauty of a historic landmark.,reverence for the beauty of a historic landmark,Reverence,Twitter,2019-11-11 15:00:00,HistoryLover,#Reverence #History,35.0,18.0,UK,48,8,2019,11,11,15,2019-11-11
Elation after a surprise reunion with old friends.,elation after a surprise reunion with old friends,Elation,Instagram,2020-04-02 09:30:00,JoyfulReunion2,#Elation #OldFriends,50.0,25.0,Canada,50,8,2020,4,2,9,2020-04-02
The euphoria of a live music concert under the stars.,the euphoria of a live music concert under the stars,Euphoria,Facebook,2021-06-19 14:45:00,MusicEnthusiast,#Euphoria #LiveMusic,30.0,15.0,USA,53,10,2021,6,19,14,2021-06-19
Contentment in the simplicity of a quiet Sunday.,contentment in the simplicity of a quiet sunday,Contentment,Twitter,2010-08-15 10:00:00,SimpleJoys,#Contentment #SundayMood,60.0,30.0,Australia,48,8,2010,8,15,10,2010-08-15
Serenity found in the pages of a favorite book.,serenity found in the pages of a favorite book,Serenity,Instagram,2011-09-22 19:30:00,BookLover3,#Serenity #BookTime,45.0,22.0,UK,47,9,2011,9,22,19,2011-09-22
Gratitude for the support received during tough times.,gratitude for the support received during tough times,Gratitude,Facebook,2012-03-10 08:30:00,SupportiveFriend,#Gratitude #Supportive,30.0,15.0,India,54,8,2012,3,10,8,2012-03-10
Hopeful about the possibilities of a new journey.,hopeful about the possibilities of a new journey,Hope,Twitter,2013-12-05 16:00:00,JourneyOptimist,#Hope #NewBeginnings,35.0,18.0,Canada,49,8,2013,12,5,16,2013-12-05
Empowerment through learning and personal growth.,empowerment through learning and personal growth,Empowerment,Instagram,2014-07-20 11:30:00,GrowthSeeker,#Empowerment #PersonalGrowth,50.0,25.0,USA,49,6,2014,7,20,11,2014-07-20
Compassion towards those in need during the holidays.,compassion towards those in need during the holidays,Compassion,Facebook,2015-12-22 14:20:00,HolidayHelper,#Compassion #HolidaySupport,35.0,18.0,USA,53,8,2015,12,22,14,2015-12-22
